date,revenue
2026-01-03,29540.0
2026-01-04,24675.0
2026-01-05,15288.0
2026-01-06,10856.0
2026-01-07,24395.0
2026-01-08,12325.0
2026-01-09,21786.0
2026-01-10,29901.0
2026-01-11,30037.0
2026-01-12,21385.0
2026-01-13,12581.0
2026-01-14,13766.0
2026-01-15,17699.0
2026-01-16,26579.0
2026-01-17,30299.0
2026-01-18,35910.0
2026-01-19,10986.0
2026-01-20,11850.0
2026-01-21,19670.0
2026-01-22,15649.0
2026-01-23,32469.0
2026-01-24,32391.0
2026-01-25,31466.0
2026-01-26,12596.0
2026-01-27,17200.0
2026-01-28,12104.0
2026-01-29,12130.0
2026-01-30,25412.0
2026-01-31,27593.0
2026-02-01,22584.0
2026-02-02,22349.0
2026-02-03,18950.0
2026-02-04,15149.0
2026-02-05,21835.0
2026-02-06,22147.0
2026-02-07,20206.0
2026-02-08,21827.0
2026-02-09,14268.0
2026-02-10,24841.0
2026-02-11,23628.0
2026-02-12,11134.0
2026-02-13,33788.0
2026-02-14,35750.0
2026-02-15,22564.0
2026-02-16,20442.0
2026-02-17,17929.0
2026-02-18,13582.0
2026-02-19,18721.0
2026-02-20,36205.0
2026-02-21,37280.0
2026-02-22,26768.0
2026-02-23,15173.0
2026-02-24,10680.0
2026-02-25,20540.0
2026-02-26,18384.0
2026-02-27,25563.0
2026-02-28,27740.0
2026-03-01,36819.0
2026-03-02,18580.0
2026-03-03,24976.0
2026-03-04,5555.0
